glucose,eda,hr,temp
134.0,0.2807795,109.48,31.27
125.0,0.2333959999999999,57.85,30.27
129.0,0.2404395,72.95,30.25
134.0,0.269574,60.8,29.93
140.0,0.2327557499999999,59.17,29.99
146.0,0.2884632499999999,66.35,29.45
173.0,0.26092975,73.87,30.57
132.0,0.1914555,60.28,29.29
115.0,0.12134775,98.2,31.57
137.0,0.265108,55.98,33.61
119.0,0.3025687499999999,69.37,32.55
121.0,0.04354425,54.42,32.91
122.0,0.279196,53.73,33.61
132.0,0.279516,49.32,31.97
128.0,0.324021,48.57,31.95
126.0,0.357319,50.23,32.05
126.0,0.372688,50.62,32.07
124.0,0.38133275,50.0,32.23
122.0,0.39702125,50.07,32.37
121.0,0.407267,49.27,32.5
121.0,0.4165525,51.68,32.65
122.0,0.37941125,52.77,33.07
121.0,0.387416,49.55,33.57
119.0,0.39670125,50.18,33.97
118.0,0.40310475,51.13,34.18
119.0,0.410789,52.33,34.39
121.0,0.4184737499999999,51.95,34.55
123.0,0.4235959999999999,51.88,34.63
125.0,0.429039,52.07,34.71
126.0,0.4328815,57.12,34.75
127.0,0.362709,54.22,34.57
128.0,0.386402,57.1,34.55
128.0,0.4011305,56.28,34.57
129.0,0.42194175,58.83,34.61
129.0,0.434429,57.75,34.66
129.0,0.43512275,58.12,35.23
128.0,0.4399254999999999,51.9,35.15
126.0,0.44216625,53.28,35.11
124.0,0.4437675,53.32,35.09
122.0,0.43992525,53.27,35.07
121.0,0.4424865,53.58,35.03
119.0,0.4450484999999999,55.02,35.05
121.0,0.4524122499999999,54.32,35.09
124.0,0.37076675,50.28,34.66
128.0,0.4251969999999999,53.42,34.95
130.0,0.455934,56.9,35.0
129.0,0.5551895,54.72,35.13
129.0,0.9627235,53.83,35.13
130.0,0.52952175,53.95,35.09
132.0,0.3348532499999999,58.78,34.87
120.0,0.7850932500000001,55.35,35.23
119.0,0.588824,55.73,35.25
121.0,0.83504125,55.85,35.29
125.0,1.7609755000000002,55.25,35.27
128.0,3.07839125,55.4,35.25
130.0,4.38306025,56.05,35.18
130.0,4.5060815000000005,55.3,35.16
131.0,4.097864,56.78,35.13
131.0,4.8739662500000005,56.68,35.16
132.0,2.89492925,55.8,34.65
134.0,7.998847249999999,51.98,35.0
134.0,3.4490782500000003,52.43,35.03
133.0,2.07611325,51.58,35.03
132.0,1.0323705,76.6,35.0
123.0,0.59099625,52.8,34.89
123.0,0.4597227499999999,60.62,34.97
124.0,0.422262,52.08,34.66
126.0,0.4033715,51.12,34.73
130.0,0.398889,52.93,34.93
141.0,0.40016975,52.48,35.05
157.0,0.40465225,53.17,35.09
168.0,0.40369175,53.2,35.09
124.0,0.2628662499999999,77.18,29.73
125.0,0.23853325,60.27,29.75
119.0,0.34611325,126.2,29.01
120.0,0.518956,70.6,26.85
124.0,0.2308489999999999,67.02,28.79
114.0,0.2926435,96.75,30.07
108.0,0.2494192499999999,91.12,31.63
120.0,0.234371,81.15,30.61
126.0,0.2119584999999998,50.85,28.73
114.0,0.2580639999999999,51.43,28.37
111.0,0.288801,55.8,28.51
109.0,0.2964854999999999,54.72,28.49
111.0,0.0861282499999999,52.73,29.69
111.0,0.10661925,49.62,29.99
111.0,0.2129189999999999,56.23,32.23
115.0,0.11174225,50.62,30.11
115.0,0.11558425,51.4,30.23
115.0,0.16457175,57.65,30.93
114.0,0.2465374999999999,54.38,30.83
124.0,0.26798925,48.6,32.18
112.0,0.15592675,60.82,33.47
111.0,0.2286075,47.78,34.39
117.0,0.00416225,45.9,32.81
116.0,0.1940285,50.72,32.91
114.0,3.40425375,54.12,34.29
113.0,0.3121205,48.33,34.97
114.0,0.32780975,48.43,34.84
115.0,0.3246074999999999,60.67,35.11
117.0,0.446329,52.97,34.47
116.0,0.35443775,50.4,34.87
114.0,0.1609965,48.22,34.73
114.0,0.1488297499999999,50.58,35.05
114.0,0.153632,51.1,35.16
113.0,0.17284275,51.18,35.23
114.0,1.69693975,51.62,35.27
115.0,2.30504125,50.95,35.25
115.0,3.56562325,53.45,35.29
116.0,3.93770375,50.97,35.21
116.0,4.16894375,48.43,35.13
113.0,0.8859495,56.17,34.83
111.0,0.55648575,59.47,34.63
108.0,0.4661265,50.13,34.59
107.0,0.3092392499999999,49.72,35.31
105.0,0.26025175,50.22,35.31
104.0,0.2259924999999999,49.22,35.33
107.0,0.21190475,49.52,35.31
112.0,0.4937155,49.32,34.84
105.0,0.0566715,67.97,35.05
106.0,0.02273275,51.78,34.45
107.0,0.30929225,68.08,34.25
98.0,0.0669174999999999,60.25,31.23
98.0,0.136716,63.52,31.73
115.0,1.96993325,61.83,31.35
106.0,0.4235962499999999,52.62,32.75
109.0,4.538099,81.47,34.21
107.0,2.407178,77.5,34.49
105.0,1.69694025,81.02,34.45
108.0,0.53528525,75.08,35.11
100.0,0.35854675,62.53,31.07
103.0,0.3861354999999999,67.03,31.21
103.0,0.37268775,73.53,33.63
102.0,0.25966475,57.1,32.63
102.0,0.3016084999999999,59.85,32.5
101.0,0.3054504999999999,66.3,32.18
101.0,0.46708675,65.65,31.29
